Sheet,ID,Species,Location,latitude,longitude,biomass,size,source,Institution
JNCC90s,,Laminaria digitata,Magrath's Point (Doughmore Bay),52.75588959,-9.52106523,,,,JNCC
JNCC90s,,Laminaria digitata,SW of Haggard Rock (Mannin Bay),53.46122344,-10.08461557,,,,JNCC
JNCC90s,,Laminaria digitata,"Coosanea, S (Magharee Islands, Brandon Bay)",52.31605265,-10.06592646,,,,JNCC
JNCC90s,,Laminaria digitata,Scattery Island pier (Shannon estuary),52.62411775,-9.5202363,,,,JNCC
JNCC80s-2015,,Laminaria digitata,,51.64745,-9.759375,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,51.555,-9.826605,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,51.6113,-9.88156,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,55.16534,-7.726803,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,55.24625,-7.762566,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,55.24625,-7.762566,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,55.27704,-7.643428,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,55.16853,-7.709677,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,55.25702,-7.75747,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,55.25595,-7.619399,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.13922,-9.84439,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.28836,-9.841358,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.28836,-9.841358,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,51.87905,-7.88012,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,51.87905,-7.88012,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,51.51245,-9.646704,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,51.52779,-9.452138,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,51.50003,-9.297018,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,51.4922,-9.298235,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.52101,-6.075222,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.28955,-6.121794,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.28955,-6.121794,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.49889,-6.008403,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.79693,-6.217566,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.79693,-6.217566,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.26939,-6.097195,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.86353,-6.063037,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,54.36517,-8.665733,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,54.38013,-8.605791,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,54.6021,-8.286563,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,54.6021,-8.286563,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.17415,-6.357745,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.17429,-6.367973,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.1063,-6.618158,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.56362,-6.193976,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.58264,-6.203817,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.58264,-6.203817,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.58264,-6.203817,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,54.23076,-10.07586,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,54.23076,-10.07586,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,54.2435,-10.09752,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,54.27085,-9.888409,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.13202,-9.291775,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.13202,-9.291775,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.13202,-9.291775,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.14976,-9.138334,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.14976,-9.138334,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.17229,-8.957507,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.23479,-8.97283,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.23325,-9.544957,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.23325,-9.544957,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.28657,-9.65636,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.48147,-9.709904,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.48147,-9.709904,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,53.23121,-9.07609,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.56876,-9.82245,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
JNCC80s-2015,,Laminaria digitata,,52.68431,-9.666064,,,http://www.emodnet-biology.eu/data-catalog?module=dataset&dasid=8016,DASSH
