"species","lng","lat"
"Alaria esculenta",-5.677493,54.66833
"Alaria esculenta",-6.285992,55.297
"Alaria esculenta",-6.184831,55.2675
"Alaria esculenta",-6.258159,55.21266
"Alaria esculenta",-6.550002,55.21833
"Alaria esculenta",-6.550002,55.21833
"Alaria esculenta",-6.689502,55.197
"Alaria esculenta",-6.699332,55.19567
"Alaria esculenta",-6.623827,55.22316
"Alaria esculenta",-6.657172,55.21117
"Alaria esculenta",-6.423495,55.239
"Alaria esculenta",-6.249332,55.2125
"Alaria esculenta",-5.878173,54.90716
"Alaria esculenta",-6.163494,55.2235
"Alaria esculenta",-5.737993,54.93066
"Alaria esculenta",-6.43584,55.23917
"Alaria esculenta",-6.43584,55.23917
"Alaria esculenta",-5.46233,54.39083
"Alaria esculenta",-5.46233,54.39083
"Alaria esculenta",-6.656834,55.21017
"Alaria esculenta",-5.46233,54.39083
"Alaria esculenta",-5.77017,54.8555
"Alaria esculenta",-5.455496,54.38817
"Alaria esculenta",-5.461662,54.38966
"Alaria esculenta",-5.891669,54.105
"Alaria esculenta",-5.46233,54.39083
"Alaria esculenta",-5.67316,54.23433
"Alaria esculenta",-5.893668,54.1095
"Alaria esculenta",-5.873012,54.17516
"Alaria esculenta",-5.516001,54.33717
"Alaria esculenta",-5.461662,54.38966
"Alaria esculenta",-6.657172,55.21117
"Alaria esculenta",-5.53434,54.30933
"Alaria esculenta",-5.530336,54.62867
"Alaria esculenta",-5.90217,54.09883
"Alaria esculenta",-6.063672,54.024
"Alaria esculenta",-5.748335,54.72533
"Alaria esculenta",-5.737494,54.93017
"Alaria esculenta",-5.872166,54.17333
"Alaria esculenta",-5.530336,54.62867
"Alaria esculenta",-5.847334,54.90033
"Alaria esculenta",-6.114329,55.20816
"Alaria esculenta",-5.70567,54.66783
"Alaria esculenta",-5.966498,54.98017
"Alaria esculenta",-6.049495,55.08784
"Alaria esculenta",-7.030673,55.18883
"Alaria esculenta",-5.635997,54.24517
"Alaria esculenta",-6.212282,55.29212
"Alaria esculenta",-6.19267,55.29133
"Alaria esculenta",-5.651994,54.22934
"Alaria esculenta",-5.762002,54.8545
"Alaria esculenta",-6.656161,55.2075
"Alaria esculenta",-6.193164,55.29184
"Alaria esculenta",-5.672336,54.665
"Alaria esculenta",-5.727835,54.67233
"Alaria esculenta",-5.66984,54.66434
"Alaria esculenta",-5.950171,54.96933
"Alaria esculenta",-5.527827,54.6405
"Alaria esculenta",-5.540672,54.65467
"Alaria esculenta",-5.540672,54.65467
"Alaria esculenta",-5.847007,54.90084
"Alaria esculenta",-5.847007,54.90084
"Alaria esculenta",-6.052124,55.07524
"Alaria esculenta",-5.625005,54.68034
"Alaria esculenta",-6.281613,55.29647
"Alaria esculenta",-6.189667,55.28767
"Alaria esculenta",-6.657493,55.2115
"Alaria esculenta",-5.907006,54.09867
"Alaria esculenta",-5.458331,54.39
"Alaria esculenta",-5.531331,54.30866
"Alaria esculenta",-6.20067,55.2935
"Alaria esculenta",-6.189667,55.28767
"Alaria esculenta",-5.639833,54.49583
"Alaria esculenta",-5.639833,54.49583
"Alaria esculenta",-6.518174,55.23833
"Alaria esculenta",-6.518174,55.23833
"Alaria esculenta",-5.461662,54.38966
"Alaria esculenta",-6.657493,55.2115
